IATA,HC,CO,NOx,PM25,SO2,CO2
SZX,             535.474060,            5644.548828,                10794.378,              124.9479,               815.044,                1926310.875
TAO,             310.022736,            2898.698730,                 4650.192,               63.1325,               396.607,                 937357.000
TCG,               1.789837,              22.544933,                   35.675,                0.9927,                 3.630,                   8579.757
TCZ,               2.287599,              33.002609,                  118.901,                2.0791,                 9.547,                  22564.383
TEN,               4.397912,              35.908779,                  197.910,                2.9573,                12.549,                  29659.434
TGO,               3.711464,              49.370918,                  147.911,                2.9866,                11.610,                  27439.848
THQ,               0.053371,               9.238868,                   19.235,                0.6347,                 2.166,                   5119.614
TLQ,               2.133308,              36.032135,                  118.399,                2.3043,                 9.491,                  22431.523
TNA,             174.303101,            1611.811768,                 4421.521,               63.2147,               314.812,                 744040.312
TNH,               0.349189,               4.043988,                   15.576,                0.2189,                 1.136,                   2685.272
TSN,              92.151573,             784.192749,                 3177.534,               42.4121,               198.631,                 469454.500
TVS,               2.237573,              31.226856,                  123.826,                2.2706,                 9.226,                  21805.570
TWC,               0.281637,               7.129403,                   21.082,                0.4784,                 1.824,                   4311.432
TXN,               6.485256,              46.295921,                  234.897,                3.2490,                14.516,                  34308.148
TYC,               0.002556,               0.685014,                   13.732,               10.1580,                 0.874,                   2066.677
TYN,              69.941956,             655.195068,                 2564.270,               36.5337,               167.986,                 397026.438
UCB,               0.606752,               6.807240,                   23.649,                0.3398,                 1.691,                   3995.460
URC,             290.423096,            2965.966309,                 4588.607,               62.1452,               389.647,                 920908.500
UYN,              13.050114,             109.487289,                  436.843,                6.5649,                29.241,                  69110.148
WDS,               6.674542,              63.694267,                  276.200,                4.6148,                18.456,                  43620.477
WEF,               1.543688,              13.319918,                   85.472,                1.2878,                 5.068,                  11977.563
WEH,               9.757041,              86.732582,                  444.167,                6.4635,                28.166,                  66569.820
WGN,               1.386696,              15.687523,                   78.183,                1.3352,                 5.311,                  12551.221
WMT,               4.977601,              44.036785,                  211.689,                3.3209,                13.986,                  33055.859
WNH,               0.649298,               5.586288,                   28.367,                0.4390,                 1.965,                   4644.264
WNZ,              42.956638,             407.328125,                 1757.808,               25.3748,               115.147,                 272143.094
WUA,               4.406910,              28.240551,                  133.715,                1.6097,                 7.725,                  18258.025
WUH,              95.936172,             964.207947,                 3577.131,               50.6576,               237.946,                 562372.562
WUS,               4.591857,              40.240376,                  206.701,                3.2516,                13.656,                  32274.117
WUT,               3.636517,              30.879879,                  179.646,                2.6287,                11.246,                  26578.652
WUX,              33.233765,             346.266846,                 1341.155,               15.4145,                83.828,                 198121.797
WUZ,               1.196429,              10.583439,                   51.243,                0.9005,                 3.342,                   7897.776
WXN,               6.305901,              58.237045,                  265.011,                4.1746,                17.251,                  40772.750
XAI,               3.468978,              30.519091,                  167.738,                2.5137,                10.741,                  25384.963
XFN,               9.973938,              92.222794,                  384.756,                5.7746,                26.336,                  62244.031
XIC,               6.651616,              62.755184,                  226.599,                3.2796,                16.598,                  39229.465
XIL,               4.882656,              44.247978,                  131.598,                2.3699,                 9.549,                  22567.471
XIY,             343.899078,            3279.780762,                 8159.036,              107.1423,               594.273,                1404525.250
XMN,             276.707123,            2742.157959,                 4614.271,               64.1396,               388.282,                 917682.875
XNN,              41.921558,             400.258606,                 1514.699,               22.2197,               106.440,                 251564.516
XUZ,              21.427969,             145.150558,                  784.945,                7.9510,                42.704,                 100929.180
YBP,               4.938053,              41.789062,                  174.294,                2.5169,                12.291,                  29048.094
YCU,              11.435146,             104.185738,                  517.574,               12.7635,                34.026,                  80419.078
YIC,               6.364808,              54.906197,                  293.203,                4.4653,                20.103,                  47512.137
YIE,               0.126600,               4.611125,                   11.132,                0.2903,                 1.109,                   2621.334
YIH,              13.041150,             124.662926,                  547.073,                8.6459,                36.675,                  86678.742
YIN,               4.416657,              58.929291,                  197.338,                3.7131,                15.273,                  36096.539
YIW,               4.288543,              40.295364,                  202.071,                3.0356,                12.782,                  30209.861
YKH,               2.045085,              16.594990,                   93.235,                1.1343,                 5.711,                  13498.353
YNJ,               4.319067,              35.450436,                  181.527,                2.7053,                12.033,                  28440.348
YNT,              52.170830,             495.024261,                 1916.940,               29.0146,               130.439,                 308285.438
YNZ,               6.142019,              54.059982,                  279.328,                3.8865,                17.610,                  41619.703
YSQ,               3.010947,              23.501190,                  115.528,                1.6821,                 7.201,                  17019.551
YTY,              13.194812,             142.194214,                  483.143,                7.4679,                35.996,                  85075.758
YUN,               0.000000,               0.000000,                    0.000,                0.0000,                 0.000,                      0.000
YUS,               0.333183,               3.259247,                   11.047,                0.1428,                 0.809,                   1911.028
YYA,               2.957596,              21.266199,                  131.122,                1.3608,                 7.272,                  17186.527
YZY,               1.165732,              10.502399,                   50.411,                0.7645,                 3.408,                   8053.649
ZAT,               1.976580,              16.996807,                   79.960,                1.2682,                 5.394,                  12748.235
ZHA,               8.452390,              93.716049,                  363.968,                6.0879,                26.141,                  61782.766
ZHY,               4.928928,              34.682598,                  136.474,                1.9534,                 9.402,                  22220.086
ZQZ,               1.645678,              13.505476,                   47.338,                0.7020,                 3.283,                   7758.537
ZUH,              50.976746,             483.042633,                 1743.110,               24.5224,               115.372,                 272675.094
ZYI,               5.843413,              53.185371,                  180.651,                3.0155,                13.342,                  31533.742
