IATA,HC,CO,NOx,PM25,SO2,CO2
WUX,              41.404945,             446.481262,                  388.572,                4.5642,                64.442,                 152304.922
WUZ,               1.484485,              16.638252,                   16.167,                0.1857,                 2.547,                   6020.607
WXN,               7.584038,              82.739479,                   87.793,                1.0378,                14.113,                  33356.016
XAI,               4.032402,              41.310123,                   50.224,                0.6479,                 8.297,                  19608.924
XFN,              11.941208,             125.873680,                  118.995,                1.4959,                20.210,                  47764.469
XIC,               7.492664,              76.108353,                   67.152,                0.9661,                12.541,                  29640.699
XIL,               4.972551,              53.144508,                   34.723,                0.4547,                 6.248,                  14766.480
XIY,             373.781677,            3693.887207,                 2510.447,               31.9597,               469.001,                1108454.250
XMN,             288.531097,            2995.617188,                 1726.271,               19.7728,               330.185,                 780375.125
XNN,              47.130409,             493.059723,                  461.101,                6.2025,                82.311,                 194536.719
XUZ,              27.635529,             185.634308,                  211.436,                2.6098,                32.890,                  77733.641
YBP,               6.304450,              58.895321,                   53.916,                0.7184,                 9.349,                  22096.143
YCU,              13.858301,             143.937256,                  160.830,                2.1420,                27.426,                  64819.895
YIC,               7.726746,              75.671043,                   80.287,                1.3497,                15.437,                  36485.559
YIE,               0.165305,               6.694289,                    5.593,                0.0473,                 0.885,                   2090.553
YIH,              15.043462,             171.297241,                  174.439,                2.0389,                28.363,                  67034.156
YIN,               5.556351,              83.564804,                   75.323,                0.8393,                12.375,                  29248.059
YIW,               4.841839,              53.582890,                   64.003,                0.7150,                 9.961,                  23542.436
YKH,               2.634060,              22.270126,                   26.735,                0.3500,                 4.392,                  10380.573
YNJ,               5.153644,              48.045296,                   52.199,                0.7508,                 9.186,                  21710.926
YNT,              60.144928,             640.589722,                  600.013,                7.5588,               102.307,                 241796.281
YNZ,               7.548844,              73.645340,                   82.953,                1.0889,                13.885,                  32817.512
YSQ,               2.685543,              27.115866,                   32.031,                0.3340,                 4.787,                  11313.489
YTY,              16.328007,             193.339523,                  149.290,                2.2508,                28.955,                  68433.008
YUN,               0.000000,               0.000000,                    0.000,                0.0000,                 0.000,                      0.000
YUS,               0.608969,               6.112445,                    5.344,                0.0728,                 0.976,                   2306.858
YYA,               3.939655,              27.725578,                   33.433,                0.4576,                 5.445,                  12869.894
YZY,               1.184855,              14.574133,                   14.195,                0.2095,                 2.688,                   6351.774
ZAT,               2.264498,              23.897133,                   27.358,                0.2901,                 4.258,                  10064.339
ZHA,              10.213194,             128.515732,                  116.286,                1.4152,                19.669,                  46487.047
ZHY,               5.948370,              46.104534,                   39.624,                0.5345,                 6.927,                  16371.875
ZQZ,               2.401119,              23.438753,                   12.750,                0.1617,                 2.303,                   5443.339
ZUH,              58.718925,             607.436035,                  557.217,                6.4898,                91.973,                 217373.562
ZYI,              11.786930,             121.986618,                   90.996,                1.4210,                17.581,                  41551.750
