IATA,HC,CO,NOx,PM25,SO2,CO2
DLU,348.431091,3496.569824,7657.646,108.7512,738.299,1744922.313
DNH,309.2462,3264.886841,7531.676,108.8956,713.819,1687066
DOY,330.573029,3008.648315,6333.295,89.1874,559.435,1322198.563
DQA,127.608696,1110.770691,3270.574,45.4858,286.142,676280.125
DSN,922.537231,7663.180664,20262.024,306.6277,1726.202,4079791.625
DTU,119.276409,1117.316803,896.203,21.171,136.226,321964.344
DYG,896.699707,6991.070069,19961.944,258.3407,1674.487,3957594.5
EJN,117.768227,680.115478,1625.386,19.2147,129.28,305544.399
ENH,250.753456,3210.954467,6363.089,95.9065,639.654,1511782.876
ENY,140.930084,1472.165588,4182.455,62.4374,379.505,896941.187
ERL,7.554637,444.459854,670.671,14.7416,81.233,191989.774
FOC,3932.298462,39295.4668,83457.666,1109.4284,7426.396,17551133.5
FUG,177.541397,1730.37677,5030.163,75.8227,453.973,1072937.969
FUO,139.836174,1558.015442,4379.708,61.7442,370.697,876125.156
FYJ,28.619752,178.993378,752.731,7.5311,51.587,121924.418
FYN,108.737117,811.977508,1425.166,19.4387,129.705,306550.258
GMQ,28.264575,341.090012,639.864,9.9808,69.728,164798.609
GOQ,93.287979,1182.858826,2123.801,178.415,223.022,527101.406
GXH,110.481758,1069.619873,2456.213,32.2394,233.924,552866.797
GYS,113.399521,1163.976746,2921.01,44.2385,283.335,669646.531
GYU,142.704957,1360.526611,3586.733,55.1642,343.919,812833.5
HAK,10710.52002,101738.7695,117787.717,1523.5309,12789.868,30227340
HBQ,10.367729,101.310745,217.12,2.8442,21.262,50252.246
HCJ,1.186762,173.285218,280.168,6.6506,34.382,81258.477
HDG,219.540512,2138.543579,6332.658,92.978,562.303,1328968.25
HEK,70.278345,714.526733,1273.381,21.2199,137.339,324592.593
HET,5278.847168,57278.57422,93531.965,1342.227,8907.467,21051864
HFE,3626.010986,34376.14355,81691.735,1084.4204,7227.302,17081160.5
HGH,15997.75293,149666.0859,219761.992,2776.0902,22000.03,51996408
HIA,604.588745,5364.790772,15171.642,216.3169,1365.47,3227242.125
HJJ,174.834541,1740.666016,3797.118,59.6453,363.747,859696.75
HLD,700.615906,6986.731933,18604.928,424.5233,1620.424,3829786.75
HLH,138.761955,2069.566833,4859.942,80.8628,465.951,1101245.687
HMI,42.22542,591.662292,1069.981,18.3503,108.575,256610.351
HNY,458.2724,4330.136718,11406.04,167.9354,1012.086,2392002.75
HPG,53.25206,506.007416,1227.469,16.0799,116.511,275369.578
HRB,13431.77832,116967.1055,159904.219,2050.2121,16445.992,38870486
HSN,455.325409,4211.744507,12605.051,179.7618,1075.06,2540832.625
HTN,295.603668,4333.462158,7813.86,123.3487,777.318,1837142.25
HTT,18.478286,229.794906,636.339,157.6371,58.217,137592.46
HUO,2.370665,377.328064,613.123,78.3231,71.771,169624.977
HUZ,638.590943,5396.302246,17655.986,225.082,1440.935,3405569.75
HXD,19.727692,271.855767,954.689,311.1494,82.984,196128.687
HYN,287.699646,2923.628296,8145.972,118.9657,729.588,1724334.187
HZG,114.781151,1144.122955,3806.467,54.1187,315.001,744487.531
HZH,42.90279,246.785743,546.209,6.4717,44.094,104213.496
INC,4345.416381,37276.29883,93318.668,1211.8206,8004.65,18917973
IQM,22.750683,877.206452,1263.636,25.8743,149.339,352954.094
IQN,150.84237,1614.034363,3049.665,47.9183,287.382,679211.719
JDZ,295.522186,2787.898438,8998.576,133.2301,786.568,1859000.875
JGD,202.393592,1397.676758,3256.257,182.7777,280.001,661768.906
JGN,185.042161,1897.8396,4877.454,70.8051,460.737,1088926.719
JGS,264.646713,2698.616699,7680.603,112.9035,686.872,1623378.75
JHG,910.95691,9690.957276,23432.657,350.4061,2236.66,5286246.5
JIC,61.649651,595.105866,1614.814,23.9068,147.809,349338.25
JIQ,120.53487,1253.331604,3455.606,54.3093,326.103,770727.187
JJN,1626.430542,15444.88672,46837.694,682.2728,4057.071,9588753.5
JMJ,112.572373,857.396088,1899.515,28.236,175.08,413790.922
JMU,110.72905,1085.63147,3493.85,50.0648,294.028,694921.031
JNG,528.230835,5818.876709,11113.535,173.4459,1070.41,2529839
JNZ,67.196602,746.760254,2020.202,29.1978,179.693,424694.109
JSJ,59.900994,544.887696,1774.955,23.7872,141.959,335510.875
JUH,191.931793,1844.335693,5203.676,79.1475,469.559,1109776.938
JUZ,158.009224,1832.997497,4274.096,62.6921,387.603,916081.374
JXA,122.406356,1001.070801,2040.173,28.3462,187.478,443094.61
JZH,9.330956,91.179665,195.408,2.5598,19.136,45227.024
KCA,60.929302,1109.544129,1591.665,59.9563,179.312,423794.063
KGT,93.081417,921.796112,1953.094,26.4119,187.104,442211.672
KHG,640.100616,6971.905029,15361.237,203.4548,1344.008,3176477
KHN,3819.662353,36234.78711,92498.148,1304.5528,8203.352,19387910
KJH,34.51537,324.322724,882.682,13.7373,84.918,200698.875
KJI,253.074325,2005.608338,4539.102,62.072,390.859,923776.063
KMG,27428.7168,291182.3438,264564.125,3547.1342,32620.497,77100016
KOW,536.012985,4803.223145,11286.458,193.6799,1007.037,2380068.125
KRL,404.24237,7161.769288,13983.476,237.9068,1424.029,3365606.625
KRY,404.012574,4521.981934,11225.031,273.4425,1003.57,2371865.125
KWE,12283.85059,130747.7109,132177.738,1884.5579,15495.524,36623366
KWL,2311.143555,22611.16894,57026.075,793.2089,5059.029,11956616.5
LCX,58.093128,510.264282,1688.012,21.4166,135.477,320192.078
LDS,42.365511,409.813797,994.068,12.6041,87.865,207663.469
LFQ,268.798294,2467.802124,5099.121,80.6603,497.49,1175789.75
LHW,5868.143799,57356.1875,110567.687,1537.5563,10570.173,24982140
LJG,1345.956909,13125.13281,30212.389,450.6846,2959.067,6993724
LLB,7.336291,427.55336,722.393,15.8442,85.408,201857.43
LLV,202.919823,1606.971069,5527.365,166.4694,442.333,1045428.125
LNJ,114.548607,935.087005,1754.438,26.0128,175.599,415018.437
LNL,116.438045,1293.393738,3828.506,56.4039,328.755,776995.782
LPF,212.699662,2243.77301,2021.996,41.0163,244.69,578311.469
LUM,347.226822,3734.769775,8256.184,127.4805,820.755,1939804.625
LXA,2093.19342,22355.85742,51658.592,641.4698,4652.734,10996326.5
LYA,1660.343262,12566.8418,11652.985,139.3428,1311.126,3098767.625
LYG,565.536804,5707.147461,14819.676,211.5663,1308.388,3092298.25
LYI,1091.335388,11007.61768,23269.097,333.7386,2216.63,5238922.5
